0,92,67
1,89,65
2,89,65
3,87,65
4,86,67
5,86,68
6,84,69
7,83,68
8,84,68
9,86,67
10,84,65
11,87,65
12,85,66
13,84,65
14,85,63
15,85,64
16,86,65
17,90,63
18,88,62
19,88,65
20,87,65
21,89,66
22,89,64
23,91,62
24,91,65
25,92,68
26,93,65
27,93,64
28,95,65
29,95,64
30,96,63
31,96,59
32,97,59
33,97,60
34,95,57
35,95,56
36,97,58
37,97,63
38,96,62
39,96,63
40,94,62
41,93,64
42,92,64
43,92,64
44,90,66
45,86,67
46,85,65
47,80,68
48,77,66
49,73,68
50,72,67
51,69,67
52,65,68
53,65,72
54,65,76
55,62,75
56,64,76
57,61,76
58,62,79
59,60,77
60,59,76
61,61,75
62,62,76
63,65,77
64,63,76
65,65,77
66,64,77
67,64,77
68,64,78
69,65,77
70,67,74
71,68,72
72,69,73
73,69,70
74,69,70
75,70,66
76,69,67
77,69,62
78,71,63
79,73,61
80,74,63
81,73,62
82,76,63
83,79,58
84,84,62
85,88,60
86,90,60
87,92,55
88,96,57
89,99,59
90,101,57
91,105,58
92,108,57
93,111,58
94,114,57
95,112,56
96,111,58
97,112,56
98,112,56
99,111,62
100,107,62
101,106,63
102,103,63
103,97,65
104,96,63
105,91,63
106,90,64
107,87,65
108,84,63
109,83,65
110,80,63
111,80,64
112,79,62
113,79,60
114,78,58
115,77,58
116,77,57
117,77,59
118,77,61
119,76,58
120,77,58
121,78,59
122,73,59
123,76,59
124,74,61
125,75,57
126,76,55
127,76,56
128,75,58
129,74,56
130,74,56
131,74,56
132,71,55
133,74,57
134,75,57
135,73,55
136,75,56
137,74,55
138,74,57
139,77,58
140,78,56
141,79,56
142,81,56
143,81,56
144,81,56
145,82,55
146,82,54
147,79,56
148,80,56
149,83,59
150,84,55
151,84,55
152,82,55
153,83,53
154,83,54
155,81,57
156,83,57
157,82,58
158,82,56
159,82,56
160,82,56
161,82,56
162,82,56
163,82,56
164,82,58
165,82,60
166,82,58
167,83,59
168,86,60
169,85,60
170,84,62
171,82,63
172,85,62
173,86,61
174,86,63
175,88,62
176,87,64
177,85,64
178,85,62
179,87,64
180,87,65
181,86,62
182,87,63
183,89,65
184,90,67
185,89,67
186,91,69
187,93,68
188,94,66
189,94,68
190,95,71
191,98,75
192,101,77
193,101,77
194,102,80
195,105,82
196,105,82
197,107,82
198,109,83
199,113,84
200,115,87
201,115,87
202,118,90
203,118,88
204,120,91
205,120,89
206,122,89
207,120,88
208,118,84
209,119,79
210,116,81
211,115,74
212,112,72
213,105,68
214,101,69
215,96,66
216,90,62
217,85,61
218,80,63
219,76,62
220,71,61
221,70,62
222,67,65
223,63,64
224,63,63
225,61,62
226,59,63
227,58,61
228,59,64
229,60,68
230,62,64
231,66,65
232,67,63
233,71,65
234,72,69
235,75,74
236,79,77
237,81,71
238,86,73
239,87,74
240,88,73
241,91,72
242,90,72
243,92,71
244,92,70
245,92,75
246,93,75
247,92,74
248,93,71
249,94,71
250,92,68
251,89,68
252,87,66
253,85,69
254,82,71
255,83,68
256,83,65
